id,word,lemma,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,unique_turn_id
1,Hallo wie sieht,Hallo wie sehen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
2,wie sieht mein,wie sehen mein,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
3,sieht mein Kalender,sehen mein Kalender,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
4,mein Kalender am,mein Kalender an,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
5,Kalender am zwölften,Kalender an zwölf,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
6,am zwölften zwölften,an zwölf zwölfen,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
7,zwölften zwölften aus,zwölf zwölfen aus,S,1,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,1
10,Die Termine am,der Termin an,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
11,Termine am Montag,Termin an Montag,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
12,am Montag den,an Montag der,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
13,Montag den zwölften,Montag der zwölf,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
14,den zwölften Dezember,der zwölf Dezember,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
15,zwölften Dezember sehen,zwölf Dezember sehen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
16,Dezember sehen wie,Dezember sehen wie,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
17,sehen wie folgt,sehen wie folgen,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
18,wie folgt aus,wie folgen aus,A,1,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,2
21,Und wie sehen,und wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
22,wie sehen meine,wie sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
23,sehen meine Termine,sehen mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
24,meine Termine am,mein Termin an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
25,Termine am dreizehnten,Termin an dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
26,am dreizehnten zwölften,an dreizehnter zwölf,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
27,dreizehnten zwölften aus,dreizehnter zwölf aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
28,zwölften aus Alexa,zwölf aus Alexa,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
29,aus Alexa wie,aus Alexa wie,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
30,Alexa wie sehen,Alexa wie sehen,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
31,wie sehen meine,wie sehen mein,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
32,sehen meine Termine,sehen mein Termin,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
33,meine Termine am,mein Termin an,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
34,Termine am dreizehnten,Termin an dreizehnter,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
35,am dreizehnten Dezember,an dreizehnter Dezember,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
36,dreizehnten Dezember aus,dreizehnter Dezember aus,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,3
39,Tut mir leid,Tut mir leid,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4
40,mir leid das,mir leid der,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4
41,leid das habe,leid der haben,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4
42,das habe ich,der haben ich,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4
43,habe ich nicht,haben ich nicht,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4
44,ich nicht verstanden,ich nicht verstehen,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,4
47,Alexa wie sehen,Alexa wie sehen,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
48,wie sehen meine,wie sehen mein,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
49,sehen meine Termine,sehen mein Termin,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
50,meine Termine am,mein Termin an,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
51,Termine am dreizehnten,Termin an dreizehnter,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
52,am dreizehnten Dezember,an dreizehnter Dezember,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
53,dreizehnten Dezember aus,dreizehnter Dezember aus,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,5
56,Am dreizehnten Dezember,an dreizehnter Dezember,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6
57,dreizehnten Dezember hast,dreizehnter Dezember haben,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6
58,Dezember hast du,Dezember haben du,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6
59,hast du keinen,haben du kein,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6
60,du keinen Eintrag,du kein Eintrag,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,6
63,Alexa bitte erstelle,Alexa bitte erstellen,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
64,bitte erstelle mir,bitte erstellen mir,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
65,erstelle mir einen,erstellen mir ein,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
66,mir einen Eintrag,mir ein Eintrag,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
67,einen Eintrag um,ein Eintrag um,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
68,Eintrag um neun,Eintrag um neun,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
69,um neun Uhr,um neun Uhr,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,7
